"Date","variable","value","Case"
2013-03-29,"Mleaf",104.778786175968,"0"
2013-03-30,"Mleaf",107.134945114268,"0"
2013-03-31,"Mleaf",109.19663722263,"0"
2013-04-01,"Mleaf",109.722431680707,"0"
2013-04-02,"Mleaf",111.51505746142,"0"
2013-04-03,"Mleaf",113.464969839107,"0"
2013-04-04,"Mleaf",112.059788939778,"0"
2013-04-05,"Mleaf",111.53625958547,"0"
2013-04-06,"Mleaf",112.611181215587,"0"
2013-04-07,"Mleaf",113.720339015998,"0"
2013-04-08,"Mleaf",115.627536853572,"0"
2013-04-09,"Mleaf",117.694306290907,"0"
2013-04-10,"Mleaf",118.907587176213,"0"
2013-04-11,"Mleaf",120.685377176072,"0"
2013-04-12,"Mleaf",122.584660090208,"0"
2013-04-13,"Mleaf",123.969154449333,"0"
2013-04-14,"Mleaf",125.922262027615,"0"
2013-04-15,"Mleaf",127.478453206237,"0"
2013-04-16,"Mleaf",128.060032647316,"0"
2013-04-17,"Mleaf",127.483952666994,"0"
2013-04-18,"Mleaf",129.041779807185,"0"
2013-04-19,"Mleaf",130.949345613444,"0"
2013-04-20,"Mleaf",132.34840876154,"0"
2013-04-21,"Mleaf",132.471093862252,"0"
2013-04-22,"Mleaf",134.664952830272,"0"
2013-04-23,"Mleaf",136.028881655478,"0"
2013-04-24,"Mleaf",137.897430591825,"0"
2013-04-25,"Mleaf",140.07129952793,"0"
2013-04-26,"Mleaf",141.931909219753,"0"
2013-04-27,"Mleaf",143.69691860377,"0"
2013-04-28,"Mleaf",145.293159699265,"0"
2013-04-29,"Mleaf",146.703288017153,"0"
2013-04-30,"Mleaf",148.036822725738,"0"
2013-05-01,"Mleaf",148.648804000891,"0"
2013-05-02,"Mleaf",149.463353582973,"0"
2013-05-03,"Mleaf",150.695212746871,"0"
2013-05-04,"Mleaf",152.660902962665,"0"
2013-05-05,"Mleaf",153.275330717,"0"
2013-05-06,"Mleaf",155.000490996543,"0"
2013-05-07,"Mleaf",156.474795167261,"0"
2013-05-08,"Mleaf",156.877958119778,"0"
2013-05-09,"Mleaf",158.471580957319,"0"
2013-05-10,"Mleaf",159.568841991936,"0"
2013-05-11,"Mleaf",160.755584126783,"0"
2013-05-12,"Mleaf",161.517202141359,"0"
2013-05-13,"Mleaf",162.483619547399,"0"
2013-05-14,"Mleaf",162.584665353358,"0"
2013-05-15,"Mleaf",163.940336015402,"0"
2013-05-16,"Mleaf",165.394160606572,"0"
