"Cstorage","Date","Case"
49.0987856946561,2013-05-08,"0"
49.7057743132715,2013-05-09,"0"
49.0216392175173,2013-05-10,"0"
48.6094426053118,2013-05-11,"0"
47.1376069639273,2013-05-12,"0"
46.2970909623408,2013-05-13,"0"
43.3661287651549,2013-05-14,"0"
43.7969783423536,2013-05-15,"0"
44.4132716788079,2013-05-16,"0"
44.5489453562772,2013-05-17,"0"
46.0845035566436,2013-05-18,"0"
47.5366029073914,2013-05-19,"0"
48.5946851745943,2013-05-20,"0"
48.3750437793601,2013-05-21,"0"
46.4628986268513,2013-05-22,"0"
42.3468270162914,2013-05-23,"0"
38.4144760863247,2013-05-24,"0"
38.3730767553325,2013-05-25,"0"
40.9905017936948,2013-05-26,"0"
43.5759659765286,2013-05-27,"0"
41.5415726076479,2013-05-28,"0"
39.4950037995753,2013-05-29,"0"
37.3432517921222,2013-05-30,"0"
38.8958331227781,2013-05-31,"0"
40.6922518745686,2013-06-01,"0"
36.5936281672822,2013-06-02,"0"
32.9604416986335,2013-06-03,"0"
37.4457413886714,2013-06-04,"0"
40.4865214845298,2013-06-05,"0"
40.2189235975303,2013-06-06,"0"
35.5299445563968,2013-06-07,"0"
34.4281678460631,2013-06-08,"0"
34.0821673999217,2013-06-09,"0"
36.9460512490782,2013-06-10,"0"
35.6826409318628,2013-06-11,"0"
38.8922280710158,2013-06-12,"0"
34.7107091707711,2013-06-13,"0"
36.3545178901938,2013-06-14,"0"
39.6106920966673,2013-06-15,"0"
41.6714461641685,2013-06-16,"0"
44.7560976469677,2013-06-17,"0"
44.2783050545241,2013-06-18,"0"
46.4841366972318,2013-06-19,"0"
46.7440114212013,2013-06-20,"0"
47.2630452314467,2013-06-21,"0"
47.8227424381128,2013-06-22,"0"
47.0728227796917,2013-06-23,"0"
42.1179235805084,2013-06-24,"0"
38.6242071781928,2013-06-25,"0"
34.0044829119691,2013-06-26,"0"
33.4068494271854,2013-06-27,"0"
32.8205463088105,2013-06-28,"0"
32.6597447034897,2013-06-29,"0"
27.9158132846954,2013-06-30,"0"
29.5726737783878,2013-07-01,"0"
35.6568974540472,2013-07-02,"0"
41.591720714173,2013-07-03,"0"
46.022335727485,2013-07-04,"0"
48.7706647322428,2013-07-05,"0"
51.6710623438024,2013-07-06,"0"
54.3389904663873,2013-07-07,"0"
56.2730361804388,2013-07-08,"0"
57.4149120328479,2013-07-09,"0"
53.848619951845,2013-07-10,"0"
50.1570136966946,2013-07-11,"0"
52.0369303115296,2013-07-12,"0"
50.2742402350565,2013-07-13,"0"
