"Date","variable","value","treatment","treat.type","no.param"
2013-02-27,"Mleaf.modelled",8.40728612230977,"ambient","1","4"
2013-02-28,"Mleaf.modelled",8.748170817949,"ambient","1","4"
2013-03-01,"Mleaf.modelled",8.82607661041089,"ambient","1","4"
2013-03-02,"Mleaf.modelled",8.72556073141051,"ambient","1","4"
2013-03-03,"Mleaf.modelled",8.77911732098103,"ambient","1","4"
2013-03-04,"Mleaf.modelled",8.88794293075986,"ambient","1","4"
2013-03-05,"Mleaf.modelled",9.22349911294271,"ambient","1","4"
2013-03-06,"Mleaf.modelled",9.59514938904132,"ambient","1","4"
2013-03-07,"Mleaf.modelled",9.91588773013032,"ambient","1","4"
2013-03-08,"Mleaf.modelled",10.2652821997891,"ambient","1","4"
2013-03-09,"Mleaf.modelled",10.5040422580485,"ambient","1","4"
2013-03-10,"Mleaf.modelled",10.8370887839652,"ambient","1","4"
2013-03-11,"Mleaf.modelled",11.1715821596321,"ambient","1","4"
2013-03-12,"Mleaf.modelled",11.3797708722835,"ambient","1","4"
2013-03-13,"Mleaf.modelled",11.6517138120602,"ambient","1","4"
2013-03-14,"Mleaf.modelled",12.0049505975939,"ambient","1","4"
2013-03-15,"Mleaf.modelled",12.0504961486206,"ambient","1","4"
2013-03-16,"Mleaf.modelled",12.0749046187147,"ambient","1","4"
2013-03-17,"Mleaf.modelled",12.4131074568287,"ambient","1","4"
2013-03-18,"Mleaf.modelled",12.7381516745629,"ambient","1","4"
2013-03-19,"Mleaf.modelled",13.0734135053461,"ambient","1","4"
2013-03-20,"Mleaf.modelled",13.3361049512619,"ambient","1","4"
2013-03-21,"Mleaf.modelled",13.626385449933,"ambient","1","4"
2013-03-22,"Mleaf.modelled",13.826601491512,"ambient","1","4"
2013-03-23,"Mleaf.modelled",13.9424384244961,"ambient","1","4"
2013-03-24,"Mleaf.modelled",14.1735473573931,"ambient","1","4"
2013-03-25,"Mleaf.modelled",14.5201408952895,"ambient","1","4"
2013-03-26,"Mleaf.modelled",14.91873349339,"ambient","1","4"
2013-03-27,"Mleaf.modelled",15.2267583476301,"ambient","1","4"
2013-03-28,"Mleaf.modelled",15.4566961851443,"ambient","1","4"
2013-03-29,"Mleaf.modelled",15.7137894532891,"ambient","1","4"
2013-03-30,"Mleaf.modelled",16.2039581040534,"ambient","1","4"
2013-03-31,"Mleaf.modelled",16.6500686789322,"ambient","1","4"
2013-04-01,"Mleaf.modelled",16.8227241209271,"ambient","1","4"
2013-04-02,"Mleaf.modelled",17.2224486431849,"ambient","1","4"
2013-04-03,"Mleaf.modelled",17.6487850278992,"ambient","1","4"
2013-04-04,"Mleaf.modelled",17.4154655795864,"ambient","1","4"
2013-04-05,"Mleaf.modelled",17.3452436360974,"ambient","1","4"
2013-04-06,"Mleaf.modelled",17.5982704745296,"ambient","1","4"
2013-04-07,"Mleaf.modelled",17.8730237397441,"ambient","1","4"
2013-04-08,"Mleaf.modelled",18.2762810467344,"ambient","1","4"
2013-04-09,"Mleaf.modelled",18.7465323050069,"ambient","1","4"
2013-04-10,"Mleaf.modelled",19.097630096047,"ambient","1","4"
2013-04-11,"Mleaf.modelled",19.5382676165071,"ambient","1","4"
2013-04-12,"Mleaf.modelled",20.0193791630635,"ambient","1","4"
2013-04-13,"Mleaf.modelled",20.4231101784161,"ambient","1","4"
2013-04-14,"Mleaf.modelled",20.9675257806253,"ambient","1","4"
2013-04-15,"Mleaf.modelled",21.4549274025218,"ambient","1","4"
2013-04-16,"Mleaf.modelled",21.7391356398081,"ambient","1","4"
2013-04-17,"Mleaf.modelled",21.7164615659209,"ambient","1","4"
2013-04-18,"Mleaf.modelled",22.2095778641954,"ambient","1","4"
2013-04-19,"Mleaf.modelled",22.7971283627506,"ambient","1","4"
2013-04-20,"Mleaf.modelled",23.2231084215769,"ambient","1","4"
2013-04-21,"Mleaf.modelled",23.4037314633419,"ambient","1","4"
2013-04-22,"Mleaf.modelled",24.0180742538096,"ambient","1","4"
2013-04-23,"Mleaf.modelled",24.468285730028,"ambient","1","4"
2013-04-24,"Mleaf.modelled",25.0657008588863,"ambient","1","4"
2013-04-25,"Mleaf.modelled",25.7243955779703,"ambient","1","4"
2013-04-26,"Mleaf.modelled",26.3082392967201,"ambient","1","4"
2013-04-27,"Mleaf.modelled",26.9104449417791,"ambient","1","4"
2013-04-28,"Mleaf.modelled",27.4954909761116,"ambient","1","4"
2013-04-29,"Mleaf.modelled",28.0746622405698,"ambient","1","4"
2013-04-30,"Mleaf.modelled",28.6244621744588,"ambient","1","4"
2013-05-01,"Mleaf.modelled",29.0057150406888,"ambient","1","4"
2013-05-02,"Mleaf.modelled",29.4446087769853,"ambient","1","4"
2013-05-03,"Mleaf.modelled",29.924151238757,"ambient","1","4"
2013-05-04,"Mleaf.modelled",30.6658529849889,"ambient","1","4"
2013-05-05,"Mleaf.modelled",31.0651900346578,"ambient","1","4"
2013-05-06,"Mleaf.modelled",31.7551292521554,"ambient","1","4"
