"Treatment","Season","Month","GPP (g C)","Rm (g C)","Rg (g C)","Cs (g C)","Clit_foliage (g C)","Cn (g C)","Clit_root (g C)","C out (g C)","C imbalance (g C)"
"ambient","Summer-2013","DJF-2013",202.443837151943,9.73817703153716,15.5818687168864,51.9395623896214,0.0159003053093216,8.16340922665718,0.0159003053093216,85.4548179753208,116.989019176623
"ambient","Autumn-2013","MAM-2013",397.736445031778,42.1004835904097,68.1246034957325,227.082011652442,0.0914300868672556,47.6040716087602,0.0914300868672556,385.094030521079,12.6424145106992
"ambient","Winter-2013","JJA-2013",733.815461656157,127.437160780112,147.649809142137,492.166030473791,0.249663595682784,129.352364875303,0.249663595682784,897.10469246271,-163.289230806552
"ambient","Spring-2013","SON-2013",2455.20916693192,400.311799032247,393.408668510799,1311.36222836933,0.571134641740041,189.037363548555,0.571134641740041,2295.26232874441,159.946838187511
"ambient","Summer-2014","DJF-2014",4333.04127201281,1021.84648212447,724.277963939496,2414.25987979832,1.07893065244493,313.826394844998,1.07893065244493,4476.36858201218,-143.327309999372
"ambient","Autumn-2014","MAM-2014",4347.97112022835,1096.24635217739,623.866895066235,2079.55631688745,1.33827153205979,179.503104079364,1.33827153205979,3981.84921127455,366.12190895379
"elevated","Summer-2013","DJF-2013",224.863860850145,11.469927729049,18.4247413651901,61.4158045506338,0.0186647633701127,7.59165183906265,0.0186647633701127,98.9394550106757,125.92440583947
"elevated","Autumn-2013","MAM-2013",479.446154845343,54.5684473424995,89.917122426614,299.723741422047,0.122189146371867,47.9860120476743,0.122189146371867,492.439701531578,-12.9935466862347
"elevated","Winter-2013","JJA-2013",1020.16075392286,165.997849985119,181.942248720661,606.474162402204,0.282207042436657,119.429089861952,0.282207042436657,1074.40776505481,-54.2470111319537
"elevated","Spring-2013","SON-2013",3024.23328615534,557.337701430668,533.397692539786,1777.99230846595,0.740305658712321,301.47857170645,0.740305658712321,3171.68688546028,-147.453599304938
"elevated","Summer-2014","DJF-2014",4431.46218182631,1344.26592457045,762.375285369894,2541.25095123298,1.2902402731044,415.808837190482,1.2902402731044,5066.28147891001,-634.819297083702
"elevated","Autumn-2014","MAM-2014",4175.06486009971,1312.70873839219,525.761535119876,1752.53845039959,1.30609302497021,411.960081926944,1.30609302497021,4005.58099188854,169.483868211175
